Retail Sector
CAVA|CAVA GROUP INC
CRI|CARTERS INC
DDS|DILLARDS INC A
DECK|DECKERS OUTDOOR CORP
DG|DOLLAR GEN CORP NEW
DLTR|DOLLAR TREE INC
GRPN|GROUPON INC A
KR|KROGER CO
M|MACYS INC
MAT|MATTEL INC
NKE|NIKE INC CLASS B
PPC|PILGRIMS PRIDE CORP
TGT|TARGET CORP EQUITY EQUITY
TH|TARGET HOSPITALITY C
TPR|TAPESTRY INC
WMT|WALMART INC
